transmittance,probability_density
3.536e-01,0.000e+00
3.569e-01,0.000e+00
3.601e-01,0.000e+00
3.633e-01,0.000e+00
3.666e-01,0.000e+00
3.698e-01,0.000e+00
3.731e-01,0.000e+00
3.763e-01,3.086e-03
3.795e-01,0.000e+00
3.828e-01,6.173e-03
3.860e-01,0.000e+00
3.893e-01,0.000e+00
3.925e-01,0.000e+00
3.957e-01,0.000e+00
3.990e-01,0.000e+00
4.022e-01,0.000e+00
4.055e-01,0.000e+00
4.087e-01,0.000e+00
4.119e-01,0.000e+00
4.152e-01,0.000e+00
4.184e-01,0.000e+00
4.217e-01,6.173e-03
4.249e-01,3.086e-03
4.281e-01,0.000e+00
4.314e-01,3.086e-03
4.346e-01,3.086e-03
4.379e-01,9.259e-03
4.411e-01,3.086e-03
4.443e-01,3.086e-03
4.476e-01,6.173e-03
4.508e-01,6.173e-03
4.541e-01,3.086e-03
4.573e-01,3.086e-03
4.605e-01,3.086e-03
4.638e-01,3.086e-03
4.670e-01,0.000e+00
4.703e-01,3.086e-03
4.735e-01,0.000e+00
4.767e-01,9.259e-03
4.800e-01,9.259e-03
4.832e-01,6.173e-03
4.865e-01,3.086e-03
4.897e-01,9.259e-03
4.929e-01,9.259e-03
4.962e-01,2.469e-02
4.994e-01,9.259e-03
5.027e-01,1.235e-02
5.059e-01,1.235e-02
5.091e-01,9.259e-03
5.124e-01,2.160e-02
5.156e-01,1.852e-02
5.189e-01,6.173e-03
5.221e-01,2.160e-02
5.253e-01,2.160e-02
5.286e-01,3.704e-02
5.318e-01,1.543e-02
5.351e-01,3.395e-02
5.383e-01,9.259e-03
5.415e-01,1.852e-02
5.448e-01,2.160e-02
5.480e-01,2.778e-02
5.513e-01,1.852e-02
5.545e-01,2.469e-02
5.577e-01,2.778e-02
5.610e-01,4.012e-02
5.642e-01,4.938e-02
5.675e-01,4.012e-02
5.707e-01,4.938e-02
5.739e-01,5.864e-02
5.772e-01,4.938e-02
5.804e-01,8.333e-02
5.837e-01,7.407e-02
5.869e-01,8.025e-02
5.901e-01,7.407e-02
5.934e-01,6.173e-02
5.966e-01,8.025e-02
5.999e-01,9.877e-02
6.031e-01,5.864e-02
6.063e-01,5.864e-02
6.096e-01,8.642e-02
6.128e-01,1.204e-01
6.161e-01,1.358e-01
6.193e-01,1.204e-01
6.225e-01,1.080e-01
6.258e-01,1.481e-01
6.290e-01,1.605e-01
6.323e-01,1.481e-01
6.355e-01,1.481e-01
6.387e-01,1.975e-01
6.420e-01,1.821e-01
6.452e-01,2.747e-01
6.485e-01,2.685e-01
6.517e-01,1.914e-01
6.549e-01,2.623e-01
6.582e-01,2.500e-01
6.614e-01,2.840e-01
6.647e-01,3.302e-01
6.679e-01,3.580e-01
6.711e-01,3.642e-01
6.744e-01,3.488e-01
6.776e-01,3.580e-01
6.809e-01,3.951e-01
6.841e-01,4.475e-01
6.873e-01,4.383e-01
6.906e-01,5.093e-01
6.938e-01,5.185e-01
6.971e-01,6.080e-01
7.003e-01,5.648e-01
7.035e-01,5.957e-01
7.068e-01,6.481e-01
7.100e-01,6.574e-01
7.133e-01,7.747e-01
7.165e-01,8.179e-01
7.197e-01,8.025e-01
7.230e-01,8.735e-01
7.262e-01,1.003e+00
7.295e-01,1.096e+00
7.327e-01,1.108e+00
7.359e-01,1.105e+00
7.392e-01,1.256e+00
7.424e-01,1.299e+00
7.457e-01,1.401e+00
7.489e-01,1.364e+00
7.521e-01,1.528e+00
7.554e-01,1.685e+00
7.586e-01,1.747e+00
7.619e-01,1.929e+00
7.651e-01,1.920e+00
7.683e-01,2.090e+00
7.716e-01,2.176e+00
7.748e-01,2.358e+00
7.781e-01,2.574e+00
7.813e-01,2.630e+00
7.845e-01,2.685e+00
7.878e-01,3.000e+00
7.910e-01,3.022e+00
7.943e-01,3.235e+00
7.975e-01,3.519e+00
8.007e-01,3.787e+00
8.040e-01,3.864e+00
8.072e-01,4.312e+00
8.105e-01,4.222e+00
8.137e-01,4.546e+00
8.169e-01,4.923e+00
8.202e-01,4.830e+00
8.234e-01,5.475e+00
8.267e-01,5.781e+00
8.299e-01,5.880e+00
8.331e-01,6.213e+00
8.364e-01,6.491e+00
8.396e-01,7.099e+00
8.429e-01,7.435e+00
8.461e-01,7.747e+00
8.493e-01,7.898e+00
8.526e-01,8.373e+00
8.558e-01,8.176e+00
8.591e-01,8.796e+00
8.623e-01,9.139e+00
8.655e-01,8.886e+00
8.688e-01,9.321e+00
8.720e-01,9.154e+00
8.753e-01,8.966e+00
8.785e-01,9.065e+00
8.817e-01,8.781e+00
8.850e-01,8.432e+00
8.882e-01,8.302e+00
8.915e-01,7.886e+00
8.947e-01,7.355e+00
8.979e-01,6.522e+00
9.012e-01,5.716e+00
9.044e-01,5.361e+00
9.077e-01,4.210e+00
9.109e-01,3.586e+00
9.141e-01,3.009e+00
9.174e-01,2.466e+00
9.206e-01,1.920e+00
9.239e-01,1.389e+00
9.271e-01,1.043e+00
9.303e-01,6.914e-01
9.336e-01,4.414e-01
9.368e-01,2.346e-01
9.401e-01,1.142e-01
9.433e-01,7.099e-02
9.465e-01,2.469e-02
9.498e-01,9.259e-03
9.530e-01,6.173e-03
9.563e-01,3.086e-03
9.595e-01,0.000e+00
9.627e-01,0.000e+00
9.660e-01,0.000e+00
9.692e-01,0.000e+00
9.725e-01,0.000e+00
9.757e-01,0.000e+00
9.789e-01,0.000e+00
9.822e-01,0.000e+00
9.854e-01,0.000e+00
9.887e-01,0.000e+00
9.919e-01,0.000e+00
9.951e-01,0.000e+00
9.984e-01,0.000e+00
