transmittance,probability_density
1.402e-01,3.584e-94
1.445e-01,1.149e-88
1.488e-01,1.745e-83
1.531e-01,1.323e-78
1.574e-01,5.254e-74
1.617e-01,1.143e-69
1.660e-01,1.416e-65
1.703e-01,1.037e-61
1.746e-01,4.640e-58
1.789e-01,1.308e-54
1.833e-01,2.387e-51
1.876e-01,2.897e-48
1.919e-01,2.393e-45
1.962e-01,1.376e-42
2.005e-01,5.619e-40
2.048e-01,1.661e-37
2.091e-01,3.614e-35
2.134e-01,5.889e-33
2.177e-01,7.292e-31
2.220e-01,6.960e-29
2.264e-01,5.188e-27
2.307e-01,3.058e-25
2.350e-01,1.441e-23
2.393e-01,5.494e-22
2.436e-01,1.710e-20
2.479e-01,4.390e-19
2.522e-01,9.373e-18
2.565e-01,1.679e-16
2.608e-01,2.543e-15
2.651e-01,3.281e-14
2.695e-01,3.632e-13
2.738e-01,3.472e-12
2.781e-01,2.884e-11
2.824e-01,2.095e-10
2.867e-01,1.337e-09
2.910e-01,7.545e-09
2.953e-01,3.781e-08
2.996e-01,1.691e-07
3.039e-01,6.784e-07
3.082e-01,2.451e-06
3.126e-01,8.005e-06
3.169e-01,2.374e-05
3.212e-01,6.417e-05
3.255e-01,1.587e-04
3.298e-01,3.605e-04
3.341e-01,7.546e-04
3.384e-01,1.461e-03
3.427e-01,2.627e-03
3.470e-01,4.402e-03
3.513e-01,6.900e-03
3.557e-01,1.016e-02
3.600e-01,1.412e-02
3.643e-01,1.859e-02
3.686e-01,2.330e-02
3.729e-01,2.793e-02
3.772e-01,3.220e-02
3.815e-01,3.587e-02
3.858e-01,3.884e-02
3.901e-01,4.116e-02
3.944e-01,4.303e-02
3.988e-01,4.475e-02
4.031e-01,4.679e-02
4.074e-01,4.963e-02
4.117e-01,5.377e-02
4.160e-01,5.962e-02
4.203e-01,6.742e-02
4.246e-01,7.713e-02
4.289e-01,8.840e-02
4.332e-01,1.006e-01
4.375e-01,1.127e-01
4.419e-01,1.237e-01
4.462e-01,1.328e-01
4.505e-01,1.394e-01
4.548e-01,1.433e-01
4.591e-01,1.450e-01
4.634e-01,1.453e-01
4.677e-01,1.455e-01
4.720e-01,1.467e-01
4.763e-01,1.498e-01
4.806e-01,1.554e-01
4.850e-01,1.636e-01
4.893e-01,1.739e-01
4.936e-01,1.858e-01
4.979e-01,1.985e-01
5.022e-01,2.114e-01
5.065e-01,2.242e-01
5.108e-01,2.370e-01
5.151e-01,2.498e-01
5.194e-01,2.633e-01
5.237e-01,2.778e-01
5.281e-01,2.937e-01
5.324e-01,3.111e-01
5.367e-01,3.300e-01
5.410e-01,3.501e-01
5.453e-01,3.713e-01
5.496e-01,3.933e-01
5.539e-01,4.158e-01
5.582e-01,4.388e-01
5.625e-01,4.625e-01
5.668e-01,4.871e-01
5.712e-01,5.130e-01
5.755e-01,5.405e-01
5.798e-01,5.701e-01
5.841e-01,6.021e-01
5.884e-01,6.368e-01
5.927e-01,6.740e-01
5.970e-01,7.137e-01
6.013e-01,7.555e-01
6.056e-01,7.989e-01
6.099e-01,8.432e-01
6.143e-01,8.877e-01
6.186e-01,9.320e-01
6.229e-01,9.758e-01
6.272e-01,1.019e+00
6.315e-01,1.062e+00
6.358e-01,1.105e+00
6.401e-01,1.149e+00
6.444e-01,1.195e+00
6.487e-01,1.245e+00
6.530e-01,1.299e+00
6.574e-01,1.358e+00
6.617e-01,1.424e+00
6.660e-01,1.497e+00
6.703e-01,1.576e+00
6.746e-01,1.664e+00
6.789e-01,1.758e+00
6.832e-01,1.859e+00
6.875e-01,1.966e+00
6.918e-01,2.080e+00
6.961e-01,2.198e+00
7.005e-01,2.321e+00
7.048e-01,2.449e+00
7.091e-01,2.581e+00
7.134e-01,2.717e+00
7.177e-01,2.856e+00
7.220e-01,2.999e+00
7.263e-01,3.145e+00
7.306e-01,3.296e+00
7.349e-01,3.452e+00
7.392e-01,3.612e+00
7.436e-01,3.778e+00
7.479e-01,3.950e+00
7.522e-01,4.128e+00
7.565e-01,4.313e+00
7.608e-01,4.504e+00
7.651e-01,4.700e+00
7.694e-01,4.900e+00
7.737e-01,5.101e+00
7.780e-01,5.301e+00
7.823e-01,5.494e+00
7.867e-01,5.677e+00
7.910e-01,5.843e+00
7.953e-01,5.986e+00
7.996e-01,6.100e+00
8.039e-01,6.179e+00
8.082e-01,6.216e+00
8.125e-01,6.207e+00
8.168e-01,6.148e+00
8.211e-01,6.037e+00
8.254e-01,5.873e+00
8.298e-01,5.658e+00
8.341e-01,5.395e+00
8.384e-01,5.091e+00
8.427e-01,4.752e+00
8.470e-01,4.387e+00
8.513e-01,4.003e+00
8.556e-01,3.611e+00
8.599e-01,3.219e+00
8.642e-01,2.836e+00
8.685e-01,2.468e+00
8.729e-01,2.122e+00
8.772e-01,1.803e+00
8.815e-01,1.513e+00
8.858e-01,1.255e+00
8.901e-01,1.028e+00
8.944e-01,8.319e-01
8.987e-01,6.652e-01
9.030e-01,5.255e-01
9.073e-01,4.102e-01
9.116e-01,3.164e-01
9.160e-01,2.412e-01
9.203e-01,1.817e-01
9.246e-01,1.353e-01
9.289e-01,9.956e-02
9.332e-01,7.244e-02
9.375e-01,5.212e-02
9.418e-01,3.707e-02
9.461e-01,2.608e-02
9.504e-01,1.814e-02
9.547e-01,1.249e-02
9.591e-01,8.500e-03
9.634e-01,5.724e-03
9.677e-01,3.815e-03
9.720e-01,2.516e-03
9.763e-01,1.642e-03
9.806e-01,1.061e-03
9.849e-01,6.783e-04
9.892e-01,4.295e-04
9.935e-01,2.692e-04
9.978e-01,1.672e-04
