transmittance,probability_density
1.505e-03,0.000e+00
4.514e-03,0.000e+00
7.524e-03,0.000e+00
1.053e-02,0.000e+00
1.354e-02,8.089e-04
1.655e-02,2.427e-03
1.956e-02,2.427e-03
2.257e-02,2.427e-03
2.558e-02,4.853e-03
2.859e-02,7.280e-03
3.160e-02,7.280e-03
3.461e-02,9.707e-03
3.762e-02,1.456e-02
4.063e-02,8.898e-03
4.364e-02,2.184e-02
4.665e-02,2.831e-02
4.966e-02,2.508e-02
5.267e-02,3.640e-02
5.568e-02,3.316e-02
5.869e-02,4.449e-02
6.170e-02,4.368e-02
6.471e-02,5.662e-02
6.772e-02,4.530e-02
7.073e-02,6.471e-02
7.374e-02,7.523e-02
7.674e-02,8.170e-02
7.975e-02,9.545e-02
8.276e-02,1.084e-01
8.577e-02,1.181e-01
8.878e-02,1.294e-01
9.179e-02,1.505e-01
9.480e-02,1.302e-01
9.781e-02,1.553e-01
1.008e-01,2.152e-01
1.038e-01,2.087e-01
1.068e-01,2.281e-01
1.099e-01,2.241e-01
1.129e-01,2.564e-01
1.159e-01,2.661e-01
1.189e-01,2.799e-01
1.219e-01,3.050e-01
1.249e-01,3.147e-01
1.279e-01,3.761e-01
1.309e-01,3.753e-01
1.339e-01,4.174e-01
1.369e-01,4.417e-01
1.399e-01,4.619e-01
1.430e-01,5.047e-01
1.460e-01,5.056e-01
1.490e-01,5.476e-01
1.520e-01,5.557e-01
1.550e-01,6.301e-01
1.580e-01,6.851e-01
1.610e-01,6.770e-01
1.640e-01,7.199e-01
1.670e-01,7.830e-01
1.700e-01,8.162e-01
1.731e-01,8.348e-01
1.761e-01,9.043e-01
1.791e-01,9.367e-01
1.821e-01,1.005e+00
1.851e-01,1.018e+00
1.881e-01,1.132e+00
1.911e-01,1.112e+00
1.941e-01,1.203e+00
1.971e-01,1.265e+00
2.001e-01,1.283e+00
2.031e-01,1.390e+00
2.062e-01,1.480e+00
2.092e-01,1.572e+00
2.122e-01,1.645e+00
2.152e-01,1.654e+00
2.182e-01,1.764e+00
2.212e-01,1.825e+00
2.242e-01,1.903e+00
2.272e-01,1.945e+00
2.302e-01,1.978e+00
2.332e-01,2.038e+00
2.363e-01,2.238e+00
2.393e-01,2.316e+00
2.423e-01,2.372e+00
2.453e-01,2.454e+00
2.483e-01,2.506e+00
2.513e-01,2.753e+00
2.543e-01,2.749e+00
2.573e-01,2.811e+00
2.603e-01,2.857e+00
2.633e-01,3.035e+00
2.663e-01,3.070e+00
2.694e-01,3.230e+00
2.724e-01,3.319e+00
2.754e-01,3.451e+00
2.784e-01,3.607e+00
2.814e-01,3.850e+00
2.844e-01,3.869e+00
2.874e-01,3.962e+00
2.904e-01,4.079e+00
2.934e-01,4.166e+00
2.964e-01,4.494e+00
2.995e-01,4.508e+00
3.025e-01,4.637e+00
3.055e-01,4.694e+00
3.085e-01,4.870e+00
3.115e-01,5.004e+00
3.145e-01,5.217e+00
3.175e-01,5.200e+00
3.205e-01,5.401e+00
3.235e-01,5.516e+00
3.265e-01,5.570e+00
3.296e-01,5.612e+00
3.326e-01,5.719e+00
3.356e-01,5.751e+00
3.386e-01,5.792e+00
3.416e-01,6.010e+00
3.446e-01,6.273e+00
3.476e-01,6.084e+00
3.506e-01,6.252e+00
3.536e-01,6.032e+00
3.566e-01,6.189e+00
3.596e-01,6.077e+00
3.627e-01,6.034e+00
3.657e-01,5.877e+00
3.687e-01,5.760e+00
3.717e-01,5.727e+00
3.747e-01,5.807e+00
3.777e-01,5.467e+00
3.807e-01,5.229e+00
3.837e-01,5.213e+00
3.867e-01,4.916e+00
3.897e-01,4.776e+00
3.928e-01,4.492e+00
3.958e-01,4.229e+00
3.988e-01,3.991e+00
4.018e-01,3.934e+00
4.048e-01,3.597e+00
4.078e-01,3.451e+00
4.108e-01,3.068e+00
4.138e-01,2.828e+00
