transmittance,probability_density
8.039e-01,0.000e+00
8.048e-01,0.000e+00
8.058e-01,0.000e+00
8.068e-01,0.000e+00
8.078e-01,0.000e+00
8.088e-01,0.000e+00
8.098e-01,0.000e+00
8.107e-01,0.000e+00
8.117e-01,0.000e+00
8.127e-01,0.000e+00
8.137e-01,0.000e+00
8.147e-01,0.000e+00
8.157e-01,0.000e+00
8.166e-01,0.000e+00
8.176e-01,0.000e+00
8.186e-01,0.000e+00
8.196e-01,0.000e+00
8.206e-01,0.000e+00
8.216e-01,0.000e+00
8.225e-01,0.000e+00
8.235e-01,0.000e+00
8.245e-01,0.000e+00
8.255e-01,0.000e+00
8.265e-01,0.000e+00
8.275e-01,0.000e+00
8.284e-01,0.000e+00
8.294e-01,0.000e+00
8.304e-01,1.011e-304
8.314e-01,8.880e-285
8.324e-01,1.541e-265
8.334e-01,5.312e-247
8.343e-01,3.660e-229
8.353e-01,5.066e-212
8.363e-01,1.417e-195
8.373e-01,8.053e-180
8.383e-01,9.352e-165
8.392e-01,2.231e-150
8.402e-01,1.100e-136
8.412e-01,1.126e-123
8.422e-01,2.409e-111
8.432e-01,1.082e-99
8.442e-01,1.026e-88
8.451e-01,2.067e-78
8.461e-01,8.883e-69
8.471e-01,8.192e-60
8.481e-01,1.630e-51
8.491e-01,7.032e-44
8.501e-01,6.615e-37
8.510e-01,1.364e-30
8.520e-01,6.195e-25
8.530e-01,6.233e-20
8.540e-01,1.396e-15
8.550e-01,6.997e-12
8.560e-01,7.888e-09
8.569e-01,2.011e-06
8.579e-01,1.165e-04
8.589e-01,1.541e-03
8.599e-01,4.679e-03
8.609e-01,3.279e-03
8.619e-01,5.328e-04
8.628e-01,2.018e-05
8.638e-01,1.790e-07
8.648e-01,3.736e-10
8.658e-01,1.845e-13
8.668e-01,2.166e-17
8.678e-01,9.840e-22
8.687e-01,1.410e-17
8.697e-01,1.240e-13
8.707e-01,2.579e-10
8.717e-01,1.273e-07
8.727e-01,1.500e-05
8.737e-01,4.237e-04
8.746e-01,2.884e-03
8.756e-01,4.752e-03
8.766e-01,1.905e-03
8.776e-01,1.881e-04
8.786e-01,9.240e-05
8.796e-01,1.242e-03
8.805e-01,4.313e-03
8.815e-01,3.698e-03
8.825e-01,7.864e-04
8.835e-01,4.168e-05
8.845e-01,5.531e-07
8.855e-01,1.846e-09
8.864e-01,1.347e-11
8.874e-01,9.661e-09
8.884e-01,1.965e-06
8.894e-01,1.007e-04
8.904e-01,1.306e-03
8.914e-01,4.307e-03
8.923e-01,3.627e-03
8.933e-01,7.873e-04
8.943e-01,2.277e-04
8.953e-01,2.377e-03
8.963e-01,8.187e-03
8.973e-01,7.598e-03
8.982e-01,2.483e-03
8.992e-01,4.073e-03
9.002e-01,8.319e-03
9.012e-01,6.405e-03
9.022e-01,4.246e-03
9.032e-01,5.403e-03
9.041e-01,5.405e-03
9.051e-01,5.370e-03
9.061e-01,6.071e-03
9.071e-01,1.030e-02
9.081e-01,1.004e-02
9.091e-01,4.648e-03
9.100e-01,4.321e-03
9.110e-01,1.424e-02
9.120e-01,2.109e-02
9.130e-01,2.225e-02
9.140e-01,2.036e-02
9.150e-01,1.653e-02
9.159e-01,2.065e-02
9.169e-01,2.559e-02
