transmittance,probability_density
4.808e-01,0.000e+00
4.834e-01,0.000e+00
4.860e-01,0.000e+00
4.886e-01,0.000e+00
4.912e-01,0.000e+00
4.938e-01,0.000e+00
4.964e-01,0.000e+00
4.990e-01,0.000e+00
5.016e-01,0.000e+00
5.042e-01,0.000e+00
5.068e-01,0.000e+00
5.094e-01,0.000e+00
5.120e-01,0.000e+00
5.146e-01,0.000e+00
5.172e-01,0.000e+00
5.198e-01,0.000e+00
5.224e-01,0.000e+00
5.250e-01,0.000e+00
5.276e-01,3.842e-03
5.302e-01,0.000e+00
5.328e-01,0.000e+00
5.354e-01,3.842e-03
5.380e-01,0.000e+00
5.406e-01,0.000e+00
5.432e-01,3.842e-03
5.458e-01,7.684e-03
5.484e-01,3.842e-03
5.510e-01,0.000e+00
5.536e-01,7.684e-03
5.562e-01,7.684e-03
5.588e-01,7.684e-03
5.614e-01,3.842e-03
5.640e-01,1.537e-02
5.666e-01,1.537e-02
5.692e-01,1.537e-02
5.719e-01,7.684e-03
5.745e-01,1.921e-02
5.771e-01,1.921e-02
5.797e-01,3.458e-02
5.823e-01,3.458e-02
5.849e-01,3.074e-02
5.875e-01,1.921e-02
5.901e-01,2.305e-02
5.927e-01,3.458e-02
5.953e-01,6.916e-02
5.979e-01,3.842e-02
6.005e-01,1.114e-01
6.031e-01,7.684e-02
6.057e-01,1.191e-01
6.083e-01,1.037e-01
6.109e-01,1.537e-01
6.135e-01,1.229e-01
6.161e-01,1.691e-01
6.187e-01,1.921e-01
6.213e-01,1.959e-01
6.239e-01,2.305e-01
6.265e-01,2.766e-01
6.291e-01,3.074e-01
6.317e-01,3.573e-01
6.343e-01,3.881e-01
6.369e-01,4.495e-01
6.395e-01,4.572e-01
6.421e-01,5.494e-01
6.447e-01,6.608e-01
6.473e-01,6.224e-01
6.499e-01,7.300e-01
6.525e-01,9.106e-01
6.551e-01,1.060e+00
6.577e-01,1.210e+00
6.603e-01,1.126e+00
6.629e-01,1.383e+00
6.655e-01,1.468e+00
6.682e-01,1.702e+00
6.708e-01,1.683e+00
6.734e-01,2.056e+00
6.760e-01,1.975e+00
6.786e-01,2.378e+00
6.812e-01,2.501e+00
6.838e-01,2.905e+00
6.864e-01,2.978e+00
6.890e-01,3.358e+00
6.916e-01,3.623e+00
6.942e-01,3.957e+00
6.968e-01,4.161e+00
6.994e-01,4.480e+00
7.020e-01,4.745e+00
7.046e-01,5.241e+00
7.072e-01,5.563e+00
7.098e-01,5.713e+00
7.124e-01,6.178e+00
7.150e-01,6.931e+00
7.176e-01,7.185e+00
7.202e-01,7.584e+00
7.228e-01,7.527e+00
7.254e-01,8.391e+00
7.280e-01,8.176e+00
7.306e-01,8.407e+00
7.332e-01,9.179e+00
7.358e-01,9.075e+00
7.384e-01,9.844e+00
7.410e-01,9.878e+00
7.436e-01,1.019e+01
7.462e-01,1.012e+01
7.488e-01,1.038e+01
7.514e-01,1.045e+01
7.540e-01,1.019e+01
7.566e-01,1.036e+01
7.592e-01,9.982e+00
7.619e-01,9.575e+00
7.645e-01,9.705e+00
7.671e-01,9.548e+00
7.697e-01,9.056e+00
7.723e-01,8.933e+00
7.749e-01,8.549e+00
7.775e-01,7.949e+00
7.801e-01,7.750e+00
7.827e-01,7.408e+00
7.853e-01,6.943e+00
7.879e-01,6.320e+00
7.905e-01,5.740e+00
7.931e-01,5.410e+00
7.957e-01,4.964e+00
7.983e-01,4.699e+00
8.009e-01,3.873e+00
8.035e-01,3.516e+00
8.061e-01,3.293e+00
8.087e-01,2.997e+00
8.113e-01,2.374e+00
8.139e-01,2.213e+00
8.165e-01,1.760e+00
8.191e-01,1.510e+00
8.217e-01,1.402e+00
8.243e-01,1.118e+00
8.269e-01,9.490e-01
8.295e-01,6.916e-01
8.321e-01,6.147e-01
8.347e-01,5.110e-01
8.373e-01,4.149e-01
8.399e-01,3.535e-01
8.425e-01,3.343e-01
8.451e-01,1.959e-01
8.477e-01,1.575e-01
8.503e-01,1.614e-01
8.529e-01,1.306e-01
8.555e-01,5.763e-02
8.582e-01,5.763e-02
8.608e-01,2.689e-02
8.634e-01,1.537e-02
8.660e-01,3.842e-03
8.686e-01,7.684e-03
8.712e-01,3.842e-03
8.738e-01,0.000e+00
8.764e-01,3.842e-03
8.790e-01,0.000e+00
8.816e-01,3.842e-03
8.842e-01,0.000e+00
8.868e-01,0.000e+00
8.894e-01,3.842e-03
8.920e-01,0.000e+00
8.946e-01,0.000e+00
8.972e-01,0.000e+00
8.998e-01,0.000e+00
9.024e-01,0.000e+00
9.050e-01,0.000e+00
9.076e-01,0.000e+00
9.102e-01,0.000e+00
9.128e-01,0.000e+00
9.154e-01,0.000e+00
9.180e-01,0.000e+00
9.206e-01,0.000e+00
9.232e-01,0.000e+00
9.258e-01,0.000e+00
9.284e-01,0.000e+00
9.310e-01,0.000e+00
9.336e-01,0.000e+00
9.362e-01,0.000e+00
9.388e-01,0.000e+00
9.414e-01,0.000e+00
9.440e-01,0.000e+00
9.466e-01,0.000e+00
9.492e-01,0.000e+00
9.518e-01,0.000e+00
9.545e-01,0.000e+00
9.571e-01,0.000e+00
9.597e-01,0.000e+00
9.623e-01,0.000e+00
9.649e-01,0.000e+00
9.675e-01,0.000e+00
9.701e-01,0.000e+00
9.727e-01,0.000e+00
9.753e-01,0.000e+00
9.779e-01,0.000e+00
9.805e-01,0.000e+00
9.831e-01,0.000e+00
9.857e-01,0.000e+00
9.883e-01,0.000e+00
9.909e-01,0.000e+00
9.935e-01,0.000e+00
9.961e-01,0.000e+00
9.987e-01,0.000e+00
